merchant_id,source_type,content,raw_score,date,sentiment,subject
M001,app_store,Great POS system but reporting is slow during peak hours.,8.0,2024-01-02,Negative,Reporting & Analytics
M003,app_store,Very intuitive interface and easy onboarding.,10.0,2024-01-07,Positive,User Experience (UX)
M004,app_store,Good features but hardware integration needs improvement.,6.0,2024-01-08,Negative,Hardware
M006,app_store,Payments are smooth and reliable.,8.0,2024-01-10,Positive,Payments
M001,app_store,Inventory sync is sometimes delayed.,6.0,2024-01-12,Negative,Reliability & Stability
M002,app_store,Reporting dashboard lacks customization.,4.0,2024-01-14,Negative,Reporting & Analytics
M007,app_store,Best POS we've used so far!,10.0,2024-01-15,Positive,POS Performance
M008,app_store,Checkout flow is fast but UX could be cleaner.,8.0,2024-01-16,Neutral,User Experience (UX)
M009,app_store,Transactions fail during peak hours.,2.0,2024-01-17,Negative,Reliability & Stability
M010,app_store,Excellent customer support response time.,10.0,2024-01-18,Positive,Support Quality
M011,app_store,Hardware pairing took longer than expected.,6.0,2024-01-19,Frustrated,Hardware
M012,app_store,Analytics tools are very useful.,8.0,2024-01-20,Positive,Reporting & Analytics
M013,app_store,App is slow when switching between tabs.,4.0,2024-01-21,Negative,User Experience (UX)
M014,app_store,Seamless integration with our payment processor.,10.0,2024-01-22,Positive,Integrations
M015,app_store,Training staff was slightly confusing.,6.0,2024-01-23,Negative,Onboarding & Training
M016,app_store,Inventory tracking works well overall.,8.0,2024-01-24,Positive,Other
M017,app_store,Frequent logout issues.,4.0,2024-01-25,Frustrated,Reliability & Stability
M018,app_store,Love the speed and simplicity.,10.0,2024-01-26,Positive,User Experience (UX)
M019,app_store,Payment terminal disconnects randomly.,2.0,2024-01-27,Negative,Reliability & Stability
M020,app_store,Good experience but needs better reporting filters.,8.0,2024-01-28,Positive,Reporting & Analytics
M001,app_store,Recent updates improved performance significantly.,10.0,2024-01-29,Positive,POS Performance
M003,app_store,Customer receipts not sending consistently.,4.0,2024-01-30,Frustrated,Reliability & Stability
M021,app_store,UI feels outdated compared to competitors.,6.0,2024-02-01,Negative,User Experience (UX)
M022,app_store,Easy to set up and deploy.,8.0,2024-02-02,Positive,Onboarding & Training
M023,app_store,Reliable system for daily operations.,10.0,2024-02-03,Positive,Reliability & Stability
M024,app_store,Refund process is too complicated.,4.0,2024-02-04,Negative,Payments
M025,app_store,Overall satisfied but minor glitches remain.,8.0,2024-02-05,Positive,Reliability & Stability
